"NA_L3CODE","hnobs","lnobs","hhamean","lhamean","totfires","perh","ecn"
"10.1.2",472,218,1130.85190907852,2014.00582836606,690,68.4057971014493,1012
"10.1.3",173,598,1728.75683644856,5445.02085455458,771,22.4383916990921,1013
"10.1.4",215,412,184.35498963907,538.824282387379,627,34.2902711323764,1014
"10.1.5",693,1455,756.434165915152,1913.18832969962,2148,32.2625698324022,1015
"10.1.6",771,1455,97.2628631014786,183.860862438034,2226,34.6361185983828,1016
"10.1.7",774,512,54.126689752756,297.652718138281,1286,60.1866251944012,1017
"10.1.8",249,279,1501.64891852249,4209.79934788961,528,47.1590909090909,1018
"10.2.1",441,586,241.345113372154,1217.45135426314,1027,42.9406037000974,1021
"10.2.2",2454,283,79.720981695762,316.605162609187,2737,89.6602119108513,1022
"10.2.4",247,282,1173.9547642834,1056.54689001064,529,46.6918714555766,1024
"11.1.1",6573,311,225.709802366773,823.711352245981,6884,95.4822777454968,1111
"11.1.2",3026,37,67.0041793123596,79.4934553513514,3063,98.7920339536402,1112
"11.1.3",973,112,608.42439725591,439.213664989286,1085,89.6774193548387,1113
"12.1.1",296,326,1102.78745149541,759.141281276074,622,47.588424437299,1211
"13.1.1",1388,2980,559.234309280533,461.907231529235,4368,31.7765567765568,1311
"15.4.1",387,374,940.127196755257,1145.94361134492,761,50.8541392904074,1541
"5.2.1",4932,214,23.7612871702579,379.085261071028,5146,95.8414302370773,521
"5.2.2",678,11,248.251045407965,32.172537,689,98.4034833091437,522
"5.3.1",1547,119,5.6334724024693,4.62773744252101,1666,92.8571428571429,531
"5.3.3",280,14,28.5228878570041,22.2591753071429,294,95.2380952380952,533
"6.2.10",870,1066,361.770231197058,654.231062538968,1936,44.9380165289256,6210
"6.2.11",1691,806,115.895036856807,1095.74984538868,2497,67.7212655186223,6211
"6.2.12",1888,1017,230.740056687966,316.780620398525,2905,64.9913941480207,6212
"6.2.13",254,361,370.429186707323,297.309195091856,615,41.3008130081301,6213
"6.2.14",735,1450,444.461816109524,259.357591796,2185,33.6384439359268,6214
"6.2.15",246,1302,815.209052678537,1735.93247457002,1548,15.8914728682171,6215
"6.2.3",1594,1280,119.241727651556,289.023566944188,2874,55.4627696590118,623
"6.2.4",27,208,1659.39545811852,1682.65539847404,235,11.4893617021277,624
"6.2.5",175,380,371.128974381714,1439.53451310253,555,31.5315315315315,625
"6.2.7",1407,1342,48.430904908742,198.189637018271,2749,51.1822480902146,627
"6.2.8",1251,939,86.1943913951079,338.791263063834,2190,57.1232876712329,628
"6.2.9",776,1268,335.681050150412,832.738413255032,2044,37.9647749510763,629
"7.1.7",469,7,4.29584112004264,2.64086521142857,476,98.5294117647059,717
"7.1.8",1335,104,17.6183521002397,212.624748248077,1439,92.7727588603197,718
"7.1.9",306,7,4.50390390437909,442.977967442857,313,97.7635782747604,719
"8.1.1",2064,130,1.45673431252907,1.61133513323077,2194,94.0747493163172,811
"8.1.10",119,5,3.90035686655462,3.34675322,124,95.9677419354839,8110
"8.1.3",1136,39,3.06087248496479,2.06867181948718,1175,96.6808510638298,813
"8.1.4",2349,22,23.872680393498,8.84091751454545,2371,99.0721214677351,814
"8.1.5",403,2,12.4405798673619,17.9680584,405,99.5061728395062,815
"8.1.6",127,3,17.6503639256153,9.6315268,130,97.6923076923077,816
"8.1.7",2742,107,2.3644153275012,1.69200351233645,2849,96.2442962442963,817
"8.1.8",520,15,5.76662763396154,2.03044455733333,535,97.196261682243,818
"8.2.1",216,5,29.3874354887037,63.8594508,221,97.737556561086,821
"8.2.2",40,NA,17.4622010011715,NA,NA,NA,822
"8.2.3",101,1,31.4316811445545,242.8116,102,99.0196078431373,823
"8.2.4",33,NA,41.6789790363636,NA,NA,NA,824
"8.3.1",1122,52,4.44480303674688,2.90455594076923,1174,95.5706984667802,831
"8.3.2",307,4,44.4429592508143,48.56232,311,98.7138263665595,832
"8.3.3",1615,18,21.2888565884954,55.8151924222222,1633,98.8977342314758,833
"8.3.4",10019,682,10.6360108484173,15.1015879548488,10701,93.6267638538454,834
"8.3.5",23460,1011,21.3533401813636,26.4757789788063,24471,95.8685791344857,835
"8.3.6",1817,14,33.1820082978734,26.2699026285714,1831,99.2353904969962,836
"8.3.7",8145,958,34.6598996266225,51.7886516814059,9103,89.475996924091,837
"8.3.8",1925,67,49.9775142999273,31.8509022313433,1992,96.636546184739,838
"8.4.1",3971,160,34.6410686086562,49.1608759121679,4131,96.1268458000484,841
"8.4.2",2688,19,148.128128927123,79.8828864736842,2707,99.298115995567,842
"8.4.3",1487,11,30.5656668731477,19.4985072727273,1498,99.2656875834446,843
"8.4.4",2363,233,39.6907328821667,81.3575871394286,2596,91.0246533127889,844
"8.4.5",2739,26,60.7063499518437,86.4639655723077,2765,99.0596745027125,845
"8.4.6",462,9,90.0880088848485,140.066321111111,471,98.0891719745223,846
"8.4.7",601,17,120.994380455907,231.599417294118,618,97.2491909385113,847
"8.4.8",916,112,116.519256311725,157.107777042857,1028,89.1050583657588,848
"8.4.9",2037,29,54.0585280388543,38.320973262069,2066,98.5963213939981,849
"8.5.1",3993,294,35.1612976659988,218.524989127347,4287,93.1420573827852,851
"8.5.2",272,13,45.9302095240441,107.366308769231,285,95.4385964912281,852
"8.5.3",6984,3340,91.2747578562317,186.497350038714,10324,67.6481983727238,853
"8.5.4",2862,76,15.3982259441509,12.3883969268421,2938,97.4132062627638,854
"9.2.1",1319,23,60.8860457270508,85.6438741304348,1342,98.2861400894188,921
"9.2.2",195,1,319.509766032821,161.8744,196,99.4897959183673,922
"9.2.3",633,7,59.0887718497946,35.5603369428571,640,98.90625,923
"9.2.4",423,4,120.546488025532,68.6954485,427,99.0632318501171,924
"9.3.1",701,122,212.543448349415,322.75566075082,823,85.176184690158,931
"9.3.3",1340,1638,287.257004018308,776.546090337642,2978,44.9966420416387,933
"9.3.4",50,57,1290.61649748,2170.40982527368,107,46.7289719626168,934
"9.4.1",1114,482,566.407719673585,572.262299800374,1596,69.7994987468672,941
"9.4.2",1462,159,221.388807523196,175.922349109434,1621,90.1912399753239,942
"9.4.3",456,360,1413.98548606404,1055.26157429082,816,55.8823529411765,943
"9.4.4",52,6,824.705708188462,561.232034333333,58,89.6551724137931,944
"9.4.5",2055,80,243.715812279101,793.4046080125,2135,96.2529274004684,945
"9.4.6",539,152,814.861531803599,697.192242077632,691,78.0028943560058,946
"9.4.7",1562,29,30.9822575410243,29.7793077241379,1591,98.1772470144563,947
"9.5.1",620,230,358.773133133226,576.176267211304,850,72.9411764705882,951
"9.6.1",527,7,203.022979986717,157.249417142857,534,98.689138576779,961
