"NA_L3CODE","hnobs","lnobs","totfires","perh5"
"10.1.2",213,116,329,64.741641337386
"10.1.3",74,315,389,19.0231362467866
"10.1.4",92,232,324,28.3950617283951
"10.1.5",302,810,1112,27.158273381295
"10.1.6",364,826,1190,30.5882352941176
"10.1.7",299,358,657,45.5098934550989
"10.1.8",96,169,265,36.2264150943396
"10.2.1",180,343,523,34.4168260038241
"10.2.2",1208,178,1386,87.1572871572872
"10.2.4",117,132,249,46.9879518072289
"11.1.1",3069,197,3266,93.9681567666871
"11.1.2",1673,26,1699,98.4696880517952
"11.1.3",475,51,526,90.3041825095057
"12.1.1",133,163,296,44.9324324324324
"13.1.1",625,1526,2151,29.0562529056253
"15.4.1",171,213,384,44.53125
"5.2.1",2223,106,2329,95.4486904250751
"5.2.2",337,2,339,99.4100294985251
"5.3.1",821,64,885,92.7683615819209
"5.3.3",140,6,146,95.8904109589041
"6.2.10",442,535,977,45.2405322415558
"6.2.11",727,489,1216,59.7861842105263
"6.2.12",799,571,1370,58.3211678832117
"6.2.13",138,198,336,41.0714285714286
"6.2.14",380,612,992,38.3064516129032
"6.2.15",99,689,788,12.5634517766497
"6.2.3",768,720,1488,51.6129032258064
"6.2.4",9,112,121,7.43801652892562
"6.2.5",67,209,276,24.2753623188406
"6.2.7",465,555,1020,45.5882352941176
"6.2.8",538,442,980,54.8979591836735
"6.2.9",354,662,1016,34.8425196850394
"7.1.7",185,4,189,97.8835978835979
"7.1.8",621,66,687,90.3930131004367
"7.1.9",154,5,159,96.8553459119497
"8.1.1",1053,63,1116,94.3548387096774
"8.1.10",53,1,54,98.1481481481482
"8.1.3",602,13,615,97.8861788617886
"8.1.4",1239,8,1247,99.3584603047314
"8.1.5",208,1,209,99.5215311004785
"8.1.6",64,1,65,98.4615384615385
"8.1.7",1358,57,1415,95.9717314487633
"8.1.8",300,6,306,98.0392156862745
"8.2.1",106,4,110,96.3636363636364
"8.2.2",21,NA,NA,NA
"8.2.3",54,1,55,98.1818181818182
"8.2.4",15,NA,NA,NA
"8.3.1",474,17,491,96.5376782077393
"8.3.2",129,3,132,97.7272727272727
"8.3.3",773,9,782,98.849104859335
"8.3.4",4956,432,5388,91.9821826280624
"8.3.5",13319,635,13954,95.4493335244374
"8.3.6",849,7,856,99.1822429906542
"8.3.7",3916,516,4432,88.3574007220217
"8.3.8",1032,33,1065,96.9014084507042
"8.4.1",2040,98,2138,95.4162768942937
"8.4.2",1414,7,1421,99.5073891625616
"8.4.3",744,5,749,99.3324432576769
"8.4.4",1146,154,1300,88.1538461538461
"8.4.5",1202,12,1214,99.0115321252059
"8.4.6",210,8,218,96.3302752293578
"8.4.7",269,8,277,97.1119133574007
"8.4.8",445,56,501,88.8223552894212
"8.4.9",977,14,991,98.5872855701312
"8.5.1",1959,195,2154,90.9470752089136
"8.5.2",138,7,145,95.1724137931034
"8.5.3",3813,1896,5709,66.7892800840778
"8.5.4",1376,38,1414,97.3125884016973
"9.2.1",654,16,670,97.6119402985075
"9.2.2",95,NA,NA,NA
"9.2.3",321,5,326,98.4662576687116
"9.2.4",176,2,178,98.876404494382
"9.3.1",327,72,399,81.9548872180451
"9.3.3",595,882,1477,40.2843601895735
"9.3.4",19,27,46,41.304347826087
"9.4.1",518,228,746,69.4369973190349
"9.4.2",709,82,791,89.6333754740834
"9.4.3",191,168,359,53.2033426183844
"9.4.4",22,3,25,88
"9.4.5",1048,37,1085,96.5898617511521
"9.4.6",261,76,337,77.4480712166172
"9.4.7",790,14,804,98.2587064676617
"9.5.1",277,152,429,64.5687645687646
"9.6.1",271,4,275,98.5454545454545
